"sleep_hrs","steps"
8.56666666666667,9311
6.26666666666667,10664
6.3,10418
6.61666666666667,7220
6.03333333333333,11401
6.36666666666667,10848
6.5,8143
8.66666666666667,8020
5.41666666666667,12016
6.36666666666667,10479
8.31666666666667,6237
6.31666666666667,11893
6.16666666666667,10725
8.4,6298
8.26666666666667,9926
8.31666666666667,6114
5.5,12262
8.31666666666667,9987
6.1,12447
6.31666666666667,9004
8.13333333333333,5868
6.23333333333333,9803
6.76666666666667,6913
8.05,10172
6.13333333333333,12508
5.6,12508
6.83333333333333,6544
8.11666666666667,8143
5.78333333333333,11524
8.4,8512
7.36666666666667,5868
6.93333333333333,6360
6.16666666666667,12939
8.51666666666667,9618
6.9,11217
7.1,11278
7.28333333333333,10971
7.01666666666667,11278
7.9,5622
8.43333333333333,6360
7.73333333333333,10602
7.6,5745
6,11340
7.41666666666667,5745
6.36666666666667,8327
6.4,11586
7.11666666666667,5991
7.45,5683
8.35,8573
8.21666666666667,5929
7.98333333333333,10356
8.13333333333333,5929
5.95,11340
7.25,5806
8.26666666666667,5991
8.11666666666667,10172
7.06666666666667,11217
5.65,12754
6.26666666666667,9126
6.31666666666667,10295
6.26666666666667,9987
8.3,10049
5.81666666666667,13184
6.45,11033
6.23333333333333,10787
6.61666666666667,7098
7.51666666666667,5683
6.35,9987
8.66666666666667,7159
5.9,13123
5.95,11463
7.15,11033
7.68333333333333,5622
8.65,7651
6.83333333333333,6667
5.95,13184
8.21666666666667,6052
8.31666666666667,9803
6.26666666666667,9311
5.46666666666667,12508
6.08333333333333,12385
6.43333333333333,11709
8.7,8143
6.18333333333333,12385
5.38333333333333,11832
7.01666666666667,6298
6.31666666666667,9188
8.58333333333333,7098
7.5,5560
8.26666666666667,7958
8.58333333333333,9065
6.26666666666667,10848
6.7,11278
8.3,7897
6.35,10664
6.36666666666667,10725
6.66666666666667,7405
6.35,9372
6.56666666666667,7651
6.16666666666667,12201
8.38333333333333,8450
5.38333333333333,12078
7.36666666666667,11217
6.9,6237
6.31666666666667,9249
6.98333333333333,6114
8.53333333333333,6544
5.81666666666667,11770
6.98333333333333,6052
8.05,10233
7.71666666666667,5499
6.08333333333333,13184
6.45,10971
5.95,11524
8.43333333333333,6237
7.38333333333333,5745
8.71666666666667,7712
6.43333333333333,8573
7.9,10479
5.38333333333333,12139
6.23333333333333,10356
6.16666666666667,10910
5.73333333333333,11647
7.95,5683
8.38333333333333,8635
8.26666666666667,9987
5.56666666666667,11586
6.3,10295
5.46666666666667,12016
6.43333333333333,7897
6.71666666666667,7159
6.35,11832
6.16666666666667,12508
8.65,9065
6.1,12201
5.51666666666667,12508
8.31666666666667,8143
6.45,8512
8.58333333333333,6606
8.26666666666667,5929
5.5,12078
7.06666666666667,5929
5.56666666666667,11401
7.11666666666667,11340
5.43333333333333,12201
8.08333333333333,5929
6.1,13184
6.93333333333333,6483
7.38333333333333,10971
6.35,10725
6.48333333333333,11463
5.73333333333333,12816
8.31666666666667,6298
5.63333333333333,12447
6.43333333333333,8081
8.66666666666667,6975
6.21666666666667,12939
6.88333333333333,6421
8.16666666666667,5991
6.03333333333333,11217
7.91666666666667,5622
6.75,7098
6.1,11155
8.56666666666667,9188
8.7,8819
8.38333333333333,7958
5.6,11524
6.05,12324
6.35,8573
6.5,7897
5.96666666666667,13307
8.45,9680
7.76666666666667,5622
6.36666666666667,9188
6.18333333333333,12877
6.26666666666667,9372
6.13333333333333,13184
5.73333333333333,13123
7.76666666666667,5499
6.9,6298
8.05,8020
6.45,11401
6.08333333333333,13061
6.03333333333333,13246
6.26666666666667,9803
6.5,7651
8.35,8143
8.61666666666667,8881
7.11666666666667,11094
6.16666666666667,12754
8.38333333333333,9741
6.58333333333333,11155
6.3,10356
7.86666666666667,10664
7.95,10541
7.28333333333333,11033
7.2,11094
6.56666666666667,10971
6.08333333333333,13123
6.3,11955
8.61666666666667,7220
6.05,12262
8.21666666666667,10049
8.38333333333333,8020
8.16666666666667,10172
6.61666666666667,7159
7.58333333333333,11033
6.58333333333333,7712
5.7,12631
8.75,7712
8.43333333333333,8635
7.51666666666667,10787
5.9,11340
8.45,6667
8.3,6175
6.3,11832
8.58333333333333,9188
7.63333333333333,5499
6.63333333333333,7589
8.13333333333333,10110
6.26666666666667,10233
8.26666666666667,8081
6.31666666666667,8881
8.71666666666667,8327
5.43333333333333,11586
6.5,10971
6.8,11155
5.63333333333333,11401
5.46666666666667,11586
8.03333333333333,5868
6.18333333333333,12016
8.16666666666667,8327
8.66666666666667,7466
6.43333333333333,7958
8.08333333333333,7897
6.45,11278
8.58333333333333,7036
6.13333333333333,12693
8.65,8942
6.05,13123
8.61666666666667,7159
7.98333333333333,10541
6.13333333333333,11033
7.01666666666667,5991
7.91666666666667,5806
6.63333333333333,11094
8.51666666666667,9680
7.03333333333333,6175
8.4,9926
8,5622
6.4,10910
6.71666666666667,6790
7.76666666666667,10787
8.43333333333333,9926
7.3,5929
5.38333333333333,11893
6.36666666666667,8942
5.51666666666667,11463
5.5,12016
8.05,5683
6.26666666666667,10295
5.51666666666667,12570
6.1,13123
5.73333333333333,11524
8.61666666666667,9004
5.56666666666667,12693
8.7,8635
7.1,6175
6.1,11033
8.7,9004
8.25,10110
6.48333333333333,8204
6.23333333333333,12508
6.23333333333333,10602
6.7,11340
7.91666666666667,5745
6.03333333333333,11278
5.91666666666667,11340
6.36666666666667,11647
8.43333333333333,9864
5.7,12754
8.26666666666667,7897
8.75,8266
6.08333333333333,13000
5.76666666666667,12447
8.13333333333333,7958
5.86666666666667,11401
6.3,10664
6.9,6360
8.7,8081
6.1,11094
5.5,11893
7.86666666666667,10418
6.56666666666667,11033
6.31666666666667,11647
5.96666666666667,13123
6.23333333333333,10848
7.78333333333333,10602
6.16666666666667,12016
6.03333333333333,13184
5.9,11647
8.45,8512
7.55,10787
7.95,10479
6.26666666666667,10725
6.85,6606
6.61666666666667,11155
8.61666666666667,9065
6.36666666666667,9126
6.18333333333333,12754
6.58333333333333,11033
8.58333333333333,8942
8.45,8450
5.91666666666667,13184
7.6,5499
6.88333333333333,6298
6.48333333333333,10971
6.45,7897
5.68333333333333,12754
8.66666666666667,7282
6.03333333333333,12262
8.66666666666667,9004
5.96666666666667,11401
6.96666666666667,11155
7.03333333333333,5929
5.86666666666667,11586
5.51666666666667,12262
8.18333333333333,5868
6.3,9680
6.21666666666667,10910
8.66666666666667,6913
6.76666666666667,11155
6.56666666666667,11155
7.9,10418
7.25,5929
6.45,10787
5.51666666666667,11586
6.18333333333333,12139
8.65,7589
8.4,8081
5.51666666666667,11832
7.86666666666667,5806
6.05,10971
5.56666666666667,12385
8.65,6790
6.13333333333333,11094
6.26666666666667,9680
8.56666666666667,6913
6.7,11155
6.23333333333333,12016
8.38333333333333,8573
8,5745
8.38333333333333,9987
6.21666666666667,12324
8.03333333333333,10479
7.01666666666667,6237
8.75,8573
8.13333333333333,10049
6.3,9741
6.45,11094
6.16666666666667,12324
7.28333333333333,11094
6.13333333333333,12816
8.71666666666667,8081
8.78333333333333,7835
5.41666666666667,11770
8.48333333333333,6483
5.7,11524
6.26666666666667,10541
5.68333333333333,11401
8.78333333333333,8204
6.08333333333333,12939
7.95,5745
6.21666666666667,10602
6.35,9249
7.71666666666667,5683
7.58333333333333,5622
6.16666666666667,12078
6.31666666666667,8942
8.13333333333333,8512
8.78333333333333,8389
6.88333333333333,11094
5.78333333333333,13184
6.35,10787
6.35,9495
8.53333333333333,6913
5.51666666666667,11709
8.75,8327
7.28333333333333,5683
6.66666666666667,11340
6.31666666666667,8819
5.68333333333333,12693
7.45,5745
6.58333333333333,7343
6.48333333333333,11340
7.85,10664
6.3,9065
